Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_8_000000000-JTFYW_1_1108_23411_26017	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1101_23806_17938	464	1	463	0.215517	35	1	34	2.857142857142857
M06508_16_000000000-CMN9T_1_1101_15138_18004	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_11670_10100	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_10738_12078	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_22251_5566	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_22382_13796	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_23128_6820	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_17005_8682	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_17084_2972	21957	6	21951	0.027326	509	1	508	0.19646365422396855
M06508_8_000000000-JTFYW_1_2103_8318_17775	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_24863_24986	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_21639_22623	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_2742_14372	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2109_27428_8109	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2109_12144_19083	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2109_5343_20365	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_11170_12203	4460	2136	2324	47.892377	120	2	118	1.6666666666666667
M06508_8_000000000-JTFYW_1_2112_5056_8322	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_19123_13297	6793	2946	3847	43.368173	103	3	100	2.912621359223301
M06508_8_000000000-JTFYW_1_2112_9194_23845	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2113_21535_14491	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2113_7899_19654	2	2	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1107_26819_12192	2421	2	2419	0.08261	6	2	4	33.33333333333333
M06508_8_000000000-JTFYW_1_2114_12052_7069	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_7300_4514	1170	1169	1	99.91453	2	1	1	50
M06508_8_000000000-JTFYW_1_1101_16279_8013	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_10048_3822	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_9194_11916	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_17066_18769	1412	1	1411	0.070822	70	1	69	1.4285714285714286
M06508_8_000000000-JTFYW_1_1102_19617_21210	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_11252_9544	1821	3	1818	0.164745	5	1	4	20
M06508_8_000000000-JTFYW_1_1103_25030_23444	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_22084_12314	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_4261_10835	661172	10	661162	0.001512	125	3	122	2.4
M06508_8_000000000-JTFYW_1_1105_24917_24152	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_18003_10112	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1107_6178_15447	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_22690_13134	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_8602_18016	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_27600_20471	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_8755_24378	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_26421_8465	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1109_12887_17755	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1108_10506_18556	11148	1	11147	0.00897	39	1	38	2.564102564102564
M06508_8_000000000-JTFYW_1_1109_10244_19615	6	1	5	16.666667	2	1	1	50
M06508_8_000000000-JTFYW_1_1109_9250_20517	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_25901_10804	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_11953_21987	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1110_11250_25175	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1111_24545_18204	29134	1	29133	0.003432	147	1	146	0.6802721088435374
M06508_8_000000000-JTFYW_1_1111_12767_24158	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_9792_15959	1547	1	1546	0.064641	12	1	11	8.333333333333332
M06508_8_000000000-JTFYW_1_1113_19016_11304	15708	1	15707	0.006366	155	1	154	0.6451612903225806
M06508_8_000000000-JTFYW_1_1113_18994_11315	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1113_23425_11903	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_22370_13587	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_22387_13594	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2101_21793_22182	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2102_24408_15711	414	1	413	0.241546	45	1	44	2.2222222222222223
M06508_8_000000000-JTFYW_1_2103_24576_7304	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2103_14593_24954	399	1	398	0.250627	40	1	39	2.5
M06508_8_000000000-JTFYW_1_2104_21277_2559	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2104_5712_13682	9	1	8	11.111111	7	1	6	14.285714285714285
M06508_8_000000000-JTFYW_1_2104_7706_13986	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_24719_9252	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_12277_9442	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_18842_2994	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_28100_13784	546	1	545	0.18315	42	1	41	2.380952380952381
M06508_8_000000000-JTFYW_1_2108_13713_15673	280904	1	280903	3.56e-4	115	1	114	0.8695652173913043
M06508_8_000000000-JTFYW_1_2108_18493_15883	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2109_20239_7745	30105	1	30104	0.003322	104	1	103	0.9615384615384616
M06508_8_000000000-JTFYW_1_2109_18048_10097	123	1	122	0.813008	6	1	5	16.666666666666664
M06508_8_000000000-JTFYW_1_2109_9383_13200	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2109_5009_17027	4113	1	4112	0.024313	89	1	88	1.1235955056179776
M06508_8_000000000-JTFYW_1_2109_27789_17385	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2109_12410_18727	3	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_2109_18435_22836	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2110_3394_19729	6	1	5	16.666667	2	1	1	50
M06508_8_000000000-JTFYW_1_2110_11191_24123	3294	1	3293	0.030358	170	1	169	0.5882352941176471
M06508_8_000000000-JTFYW_1_2111_8944_6534	19136	1	19135	0.005226	332	1	331	0.30120481927710846
M06508_8_000000000-JTFYW_1_2111_26290_14661	122	1	121	0.819672	6	1	5	16.666666666666664
M06508_8_000000000-JTFYW_1_2111_25768_17659	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2111_15179_18897	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2111_16116_21859	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2112_26047_7047	1350	2	1348	0.148148	34	1	33	2.941176470588235
M06508_8_000000000-JTFYW_1_2112_7654_21297	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2113_5826_17308	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2113_21089_19823	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2113_11174_21793	14820	1	14819	0.006748	63	1	62	1.5873015873015872
M06508_8_000000000-JTFYW_1_2114_5871_6336	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2114_17317_6853	164	1	163	0.609756	40	1	39	2.5
M06508_8_000000000-JTFYW_1_2114_26077_11601	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_1909_15257	502	153	349	30.478088	24	1	23	4.166666666666666
M06508_8_000000000-JTFYW_1_1102_16674_19994	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_25071_16677	18211	1	18210	0.005491	92	1	91	1.0869565217391304
M06508_8_000000000-JTFYW_1_1106_9221_27023	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_14006_2224	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_3181_15578	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_22975_17199	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1108_28136_20592	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1112_15981_11716	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1114_16732_6343	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1104_16340_17444	298488	1	298487	3.35e-4	128	1	127	0.78125
M06508_8_000000000-JTFYW_1_1114_27923_12442	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2105_5118_16422	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_17547_4446	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_25162_13665	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2106_6032_17245	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_13158_7527	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2107_27588_10163	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_21452_5016	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2108_10904_20419	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2109_17135_4639	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2110_20580_14976	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2112_10459_19249	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2112_9692_23310	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1107_5950_10599	1707	39	1668	2.28471	102	1	101	0.9803921568627451
M06508_8_000000000-JTFYW_1_2113_6590_24201	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_2114_7211_19869	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_18730_1824	67	67	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_21752_2804	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_11991_2850	22	22	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_18291_3065	54	54	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_10318_3141	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_21547_3184	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_18340_3267	4901	1162	3739	23.709447	53	2	51	3.7735849056603774
M06508_8_000000000-JTFYW_1_1101_16936_3269	900	96	804	10.666667	54	1	53	1.8518518518518516
M06508_8_000000000-JTFYW_1_1101_19537_3920	38	38	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_8642_4005	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_16183_5792	1225	1046	179	85.387755	2	1	1	50
M06508_8_000000000-JTFYW_1_1101_9360_6081	2380	34	2346	1.428571	92	1	91	1.0869565217391304
M06508_8_000000000-JTFYW_1_1101_23926_6924	593	466	127	78.583474	18	2	16	11.11111111111111
M06508_8_000000000-JTFYW_1_1101_10323_7161	111	111	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1106_11660_10459	264411	1	264410	3.78e-4	95	1	94	1.0526315789473684
M06508_8_000000000-JTFYW_1_1101_14369_7969	16	16	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_23748_8053	743	91	652	12.247645	37	1	36	2.7027027027027026
M06508_8_000000000-JTFYW_1_1101_13801_8300	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_18898_8457	16	16	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_13076_8858	428	33	395	7.71028	24	1	23	4.166666666666666
M06508_8_000000000-JTFYW_1_1101_17028_9126	1313	19	1294	1.447068	57	1	56	1.7543859649122806
M06508_8_000000000-JTFYW_1_1101_11022_10234	28	28	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_7662_11085	916	56	860	6.113537	34	1	33	2.941176470588235
M06508_8_000000000-JTFYW_1_1101_21680_11685	355	54	301	15.211268	17	1	16	5.88235294117647
M06508_8_000000000-JTFYW_1_1101_7057_13357	11	11	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_17316_14534	11	11	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_11733_14608	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_9383_14808	11	11	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_8292_14948	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_6873_15076	15	15	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_11601_15251	28	23	5	82.142857	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1101_7864_16028	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_3555_16469	15	15	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_4098_16703	622	223	399	35.85209	28	2	26	7.142857142857142
M06508_8_000000000-JTFYW_1_1101_26910_16988	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_15528_17689	64	64	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_4852_18114	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_19473_18580	239	55	184	23.012552	16	1	15	6.25
M06508_8_000000000-JTFYW_1_1101_24815_19035	523	56	467	10.707457	27	1	26	3.7037037037037033
M06508_8_000000000-JTFYW_1_1101_14341_19403	75	75	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_15111_20139	23	23	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_6354_20682	19	19	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_16891_21431	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_21813_22422	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_15695_22827	20	20	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_8352_23733	8	8	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_23358_24041	16	16	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_11298_24328	8	8	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_19962_25342	48	48	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_15922_25362	11	11	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_18833_26617	16	16	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_17289_27575	800	34	766	4.25	72	1	71	1.3888888888888888
M06508_8_000000000-JTFYW_1_1101_10606_27951	22	22	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1101_14042_28446	36	8	28	22.222222	14	1	13	7.142857142857142
M06508_8_000000000-JTFYW_1_1102_14642_2339	62	62	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_21634_2750	42	42	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_14119_2962	15	15	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_21014_3745	11	11	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_12022_5115	24	24	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_10503_5614	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_19942_5815	7	7	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_8519_6426	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_10125_6676	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_24742_8024	11	11	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_25517_8626	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_14180_9087	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_10843_9179	22	20	2	90.909091	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1102_13975_10400	12	12	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_26233_11081	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_4458_12311	36	36	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_24206_12364	11	11	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_28623_13701	29	29	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_25878_14044	1973	167	1806	8.464268	150	4	146	2.666666666666667
M06508_8_000000000-JTFYW_1_1102_16094_15456	13	13	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_5743_16136	854	20	834	2.34192	43	1	42	2.3255813953488373
M06508_8_000000000-JTFYW_1_1102_7341_16543	4	4	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_7825_16715	30	30	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_20794_16857	20	20	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_18758_17295	184	8	176	4.347826	22	1	21	4.545454545454546
M06508_8_000000000-JTFYW_1_1102_11056_17833	34	34	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_12463_19386	14	14	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_8094_19398	63	63	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_18703_20388	13	13	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_4081_20644	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_8865_24892	244	11	233	4.508197	19	1	18	5.263157894736842
M06508_8_000000000-JTFYW_1_1102_19977_25159	28	20	8	71.428571	7	1	6	14.285714285714285
M06508_8_000000000-JTFYW_1_1102_16354_25234	2	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1102_16698_25367	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_19649_25985	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1102_9802_27742	6	6	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_16465_4092	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_14342_4289	12	12	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_23928_6771	7	7	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_4109_11501	168	22	146	13.095238	18	1	17	5.555555555555555
M06508_8_000000000-JTFYW_1_1103_22469_11783	15	15	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_21831_12105	8	8	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_13406_12117	4	4	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_26079_12504	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_25610_12736	23	23	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_21682_13463	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_21661_13909	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_24947_13923	12	12	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_4675_14378	19	19	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_20503_14717	18	18	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_20873_14761	13	13	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_23155_15558	5	5	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1110_25877_5767	16478	546	15932	3.313509	156	1	155	0.641025641025641
M06508_8_000000000-JTFYW_1_1103_5024_16927	7	6	1	85.714286	2	1	1	50
M06508_8_000000000-JTFYW_1_1103_8189_17115	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_15557_20121	772	81	691	10.492228	28	1	27	3.571428571428571
M06508_8_000000000-JTFYW_1_1103_10238_20926	15	15	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_7394_21011	33	33	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_18986_21319	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_14999_21443	24	24	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_18374_21531	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_18015_21892	13	13	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_5703_22282	14	14	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_20164_22714	18	18	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1103_20742_25318	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_23213_3760	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_17711_5489	1	1	0	100	1	1	0	100
M06508_19_000000000-CR8CR_1_2113_14637_10869	1960	95	1865	4.846939	97	1	96	1.0309278350515463
M06508_8_000000000-JTFYW_1_1104_17978_6306	42	37	5	88.095238	6	1	5	16.666666666666664
M06508_8_000000000-JTFYW_1_1104_16046_7689	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1102_18593_2659	802	118	684	14.713217	34	1	33	2.941176470588235
M06508_8_000000000-JTFYW_1_1104_12663_9093	15	11	4	73.333333	5	1	4	20
M06508_8_000000000-JTFYW_1_1104_3461_9669	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_20274_12138	5	5	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_3115_13551	9	9	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_6674_15332	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_28048_15364	8	8	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_22480_15593	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_4759_16814	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_15719_20268	20	20	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1105_9418_25451	127	35	92	27.559055	12	1	11	8.333333333333332
M06508_8_000000000-JTFYW_1_1104_11786_24454	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1104_14502_25507	225	207	18	92	5	2	3	40
M06508_8_000000000-JTFYW_1_1105_15172_2710	10	10	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_22825_3345	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_13608_4240	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_13943_7335	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_3946_8108	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_8777_10841	16	16	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_11985_12051	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_26526_12105	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_18623_12300	7	7	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_4417_12311	14	14	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_27784_14754	454	6	448	1.321586	23	1	22	4.3478260869565215
M06508_8_000000000-JTFYW_1_1105_6812_17290	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_20869_19408	12	12	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_26329_19606	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_27079_19624	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_8504_21398	2	2	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_22614_22244	9	9	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_6161_22249	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_26292_22442	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_21375_23102	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_8823_23201	7	7	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1105_6701_24341	13	13	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_13976_2490	16	16	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_10316_3149	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_1113_27495_15704	1017	1	1016	0.098328	24	1	23	4.166666666666666
M06508_8_000000000-JTFYW_1_1106_20199_8561	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_8908_8939	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_12004_10034	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_23781_10543	18	12	6	66.666667	4	1	3	25
M06508_8_000000000-JTFYW_1_1106_16131_10865	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_22062_11133	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_4041_12551	3	3	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_22562_13883	16	13	3	81.25	4	1	3	25
M06508_8_000000000-JTFYW_1_1106_25496_14251	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_28748_14315	34	34	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_18892_14910	20	20	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_22359_16016	10	10	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_25516_17377	4	4	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_9100_10829	1414	269	1145	19.024045	65	1	64	1.5384615384615385
M06508_8_000000000-JTFYW_1_1106_11352_20016	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_14518_20293	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_14970_21122	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_26676_22725	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_25213_23575	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_12346_24470	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_17679_25429	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_16728_25674	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_6855_25837	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_11155_26008	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_19538_27708	1	1	0	100	1	1	0	100
M06508_8_000000000-JTFYW_1_1106_11327_28033	1	1	0	100	1	1	0	100
