Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_9_000000000-JTBW3_1_1114_10269_17956	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_2104_26772_17727	4	4	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2105_8505_17576	2711	1	2710	0.036887	81	1	80	1.2345679012345678
M06508_9_000000000-JTBW3_1_2106_23260_7795	2	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2106_27489_10216	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2106_21982_17991	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2107_8676_7474	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2107_20908_21483	1	1	0	100	1	1	0	100
M06508_16_000000000-CMN9T_1_2102_24784_11923	10360	1	10359	0.009653	35	1	34	2.857142857142857
M06508_9_000000000-JTBW3_1_2109_16403_4262	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2109_21406_24568	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2110_6288_15556	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2110_11538_18912	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2111_19424_4352	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2111_20438_13080	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2111_10924_26271	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2112_15817_26129	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_21062_14384	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2113_23890_23200	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2114_3914_17132	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2114_17394_20110	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1101_19485_11803	1598	1015	583	63.516896	39	3	36	7.6923076923076925
M06508_9_000000000-JTBW3_1_1102_13348_4233	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1102_10862_25087	1041	1	1040	0.096061	17	1	16	5.88235294117647
M06508_9_000000000-JTBW3_1_1105_18722_6316	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1105_6710_15703	796	1	795	0.125628	36	1	35	2.7777777777777777
M06508_9_000000000-JTBW3_1_1106_26453_10305	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1106_22856_22426	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1107_10448_9385	59	2	57	3.389831	9	1	8	11.11111111111111
M06508_9_000000000-JTBW3_1_1109_19365_4082	2	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1109_26982_15244	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1109_16842_21210	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1111_13053_8282	1051	1	1050	0.095147	107	1	106	0.9345794392523363
M06508_9_000000000-JTBW3_1_1112_10353_3176	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1112_2379_19117	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1113_26734_7369	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1114_14645_17608	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_1114_18921_27642	1	1	0	100	1	1	0	100
M06508_9_000000000-JTBW3_1_2101_15268_18246	18497	1	18496	0.005406	36	1	35	2.7777777777777777
